count,hate_speech_count,offensive_language_count,neither_count,class,tweet,binary_class,tweet_length,word_count
3,0,3,0,1,im done bitter bitch wrap angri bird there app,unsafe,95,23
3,0,3,0,1,ya bitch,unsafe,20,6
3,0,3,0,1,aint noth cut bitch,unsafe,38,10
3,0,3,0,1,jus meet son ya mane ass bitch shot,unsafe,50,12
3,0,2,1,1,lame cri hoe that tear clown,unsafe,49,11
3,0,3,0,1,like snoop said dont love hoe,unsafe,49,12
3,0,1,2,2,momma said pussi cat insid doghous,safe,47,10
3,0,3,0,1,hate hoe favorit mw sevenon,unsafe,76,12
3,0,3,0,1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick,unsafe,130,22
3,0,3,0,1,pimp pimp hoe futur voic,unsafe,44,10
3,0,3,0,1,post pictur pussi get like,unsafe,46,11
3,0,3,0,1,pussi power drug happyhumpday,unsafe,75,10
3,0,3,0,1,quick piec pussi call drive,unsafe,43,11
3,0,3,0,1,run round like brand new pussi that bout get fuck,unsafe,73,15
3,0,3,0,1,bitch even worst theyll send guy,unsafe,59,12
3,1,2,0,1,hoe like nigga spend money talk bout,unsafe,60,13
3,1,2,0,1,dont trust nigga bitch,unsafe,48,10
3,0,3,0,1,yall nigga b cuf hoe caus yall aint never bitch,unsafe,65,13
3,0,3,0,1,dodg bullet darealkha da bitch cut pregnant bound thank god,unsafe,133,22
3,0,3,0,1,young pill chamberlain bitch love music,unsafe,54,10
3,0,2,1,1,vandalsavag teanna trump probabl cleaner twitter hoe,unsafe,191,12
3,0,3,0,1,dahomiefuzz gay nigga couldnt wait act like bitch tonight,unsafe,158,10
3,0,3,0,1,theparadox ima steal cat n replac pitbul rt sbabylif theparadox bitch,unsafe,188,23
3,0,3,0,1,amp hes gone alway hoe,unsafe,33,7
3,0,3,0,1,son bitch took tic tac like movi,unsafe,59,12
3,0,3,0,1,wanna get money fuck model bitch russel simmon,unsafe,73,14
3,0,2,1,1,seniorprob probabl wouldnt mind school much didnt deal bitch ass teacher retweet,unsafe,130,19
3,0,3,0,1,axdemeri im fuck fag said,unsafe,41,7
3,0,3,0,1,arizzleindacut femal think date pussi cute stuff make pussi,unsafe,127,19
3,0,0,3,2,addictedguy simplyaddictedtoguy woof woof hot scalli lad,safe,87,8
3,0,3,0,1,adorebellaaa ya ever ask bitch bitch kany voic yes,unsafe,82,14
3,0,3,0,1,adorezoey u gone bring ur side bitch game know ya gf friend swear,unsafe,139,22
3,0,1,2,2,allaboutmanfeet woof woof hot sole,safe,66,7
3,0,1,2,2,allyhaaaaa lemmi eat oreo amp dish one oreo lol,safe,69,12
3,0,3,0,1,almightywayn jetsandaswish gook bitch fuck u mayb youll get better,unsafe,135,13
3,1,2,0,1,almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc,unsafe,97,14
3,0,0,3,2,arizonasfinest eggplant emoji doey say look like scream lmao,safe,83,13
3,0,3,0,1,autoworid hennessey venom gt that one sexi bitch,unsafe,87,10
3,0,3,0,1,bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao,unsafe,89,10
3,0,3,0,1,brohen eaglesn everi eagl need see pic post bitch said racist shit,unsafe,131,22
3,1,2,0,1,bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn,unsafe,128,16
3,0,1,2,2,babyanimalp babi monkey bathtim awwww soooo ador,safe,95,10
3,0,3,0,1,baylaagottabodi aint shit damn skippi lol,unsafe,87,9
3,1,2,0,1,beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchanc,unsafe,143,28
3,0,3,0,1,beenbasedb kudabrazyy ring mvps bitch lol,unsafe,79,10
3,1,2,0,1,beenflynsolo ppl talk bad ghettohood kid grow nigga funnnnnnn,unsafe,104,19
9,0,7,2,1,bestproadvic fact tattoostattoo hes pussi tattoo nippl,unsafe,115,14
3,0,3,0,1,bill rt nelayden bitch want act like nigga bad shit aint cuteeee nigga act like bitch,unsafe,181,23
3,0,3,0,1,bitchjon get worship bitch woof woof,unsafe,71,7
3,1,2,0,1,blackchiquitita wow rt thatmanpalm im lost buttcheek pierc yeah shes hoe,unsafe,123,15
3,0,3,0,1,blacknerdjad ok sis shed rather broke bitch shrug shell tell work,unsafe,110,20
3,2,1,0,0,blackmantid whalelookyher howdydowdi queer gaywad,unsafe,61,5
3,0,3,0,1,brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol,unsafe,90,14
3,0,3,0,1,brosconfess bitch ungrat fr lulwhor,unsafe,89,10
3,0,3,0,1,cashandboobi kidnap yo bitch,unsafe,44,6
3,3,0,0,0,cbbabi whitethunduh alsarabsss hes beaner smh tell hes mexican,unsafe,83,13
3,1,2,0,1,ccobey aydanmccoy happi birthday nig thank yo,unsafe,52,7
6,1,5,0,1,chlldhoodruin ur teacher tell u u homework bitch need go,unsafe,113,16
3,1,2,0,1,caelang edham caelang nigga eat hoe lol hell yea lol john paul nigga said john paul,unsafe,140,20
3,0,3,0,1,canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav,unsafe,107,17
3,1,2,0,1,carelesson leaf better win damn game go riot shit earlychristma better start loot nig,unsafe,123,21
3,0,3,0,1,causewereguy go back school suck dick hoe attend,unsafe,83,14
3,0,3,0,1,causewereguy way fuck yo bitch year old,unsafe,86,15
3,0,3,0,1,celeynichol whitethunduh come never bring food dont car retard,unsafe,89,15
3,0,3,0,1,chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like propl,unsafe,128,22
3,1,2,0,1,chandlerparson bout cowboy shutup pussi,unsafe,58,7
3,0,3,0,1,clicquotsuav lmaooooooooooo nigga krillznuhcar ltbitch want like depress shitfoh,unsafe,134,13
3,0,3,0,1,coleyce lilaerii girl know spit g shit amp go lbvsbitch plz,unsafe,106,19
3,0,3,0,1,coleyce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,unsafe,120,22
3,0,2,1,1,comedypost harlem shake excus go full retard second,unsafe,80,14
3,0,3,0,1,comedytruth amen miley dont need act like hoe bc shes emot damag foh,unsafe,141,20
3,0,3,0,1,corybandz one loyal femal wayyyyy better hoe idc,unsafe,88,14
3,0,3,0,1,crhedri pussi lick pussi meow meow stopwhitepeopl,unsafe,124,10
3,0,3,0,1,dbabholloway check th man cowboysn even faggot ny fan stand,unsafe,105,17
3,0,3,0,1,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,unsafe,109,20
3,0,3,0,1,daedavidavi whitethunduh im bitch okay nude pat wow,unsafe,91,10
3,3,0,0,0,devilgrimz vigxrart your fuck gay blacklist hoe hold tehgodclan anyway,unsafe,119,13
3,0,3,0,1,diamondloudkush fuck wrong bitch nobodi know,unsafe,70,10
3,0,3,0,1,dietrich yall shut upp make bitch,unsafe,45,7
3,1,2,0,1,dionairish hate im pregnant type bitch,unsafe,53,9
3,0,3,0,1,doyouq got bitch dm dont ever readem top,unsafe,80,17
3,0,0,3,2,domworldpeac basebal season win yanke love start,safe,86,13
3,0,3,0,1,dommoneek littl stupid bitch dont fuck yoooooouuuu,unsafe,68,10
3,0,3,0,1,dreadheadari realli ask dead ass serious tho could say bitch wheet lol,unsafe,100,18
3,0,0,3,2,dunderbail im earli bird im night owl im wise worm,safe,81,16
3,0,1,2,2,edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day,safe,99,16
3,0,0,3,2,elgrillo pit bull photograph love fairi tale creatur fairi tale creatur,safe,133,15
3,0,3,0,1,ferociousghost stnamebravo aw fag dont tweet aw lol,unsafe,73,10
3,0,0,3,2,flokid long laker trash could careless that real cc benbal hahaha,safe,111,19
3,0,3,0,1,frosstyy hrheyd didnt say anyth tho kiss faggot,unsafe,68,11
3,0,0,3,2,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut yup,safe,136,18
3,0,3,0,1,gstatus could go fat ass bitch lap,unsafe,59,13
3,0,3,0,1,gedmell miss call das yo po bitch twitter finna screamn freemoneymell,unsafe,108,13
6,0,6,0,1,gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao,unsafe,162,22
3,0,3,0,1,gagatom malefoot amo los pie fuck yeah,unsafe,87,10
3,0,3,0,1,girlthatsvont hoe think meat wont slap ass ainna bruh,unsafe,96,13
3,0,3,0,1,girlthatsvont yall bitch wit edg talk,unsafe,123,12
3,0,3,0,1,girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,unsafe,135,23
3,0,3,0,1,girllssu wanna sex mom fuck right pussi came damn got hack like fuck,unsafe,120,24
6,0,6,0,1,gizzyjon kiss u eye open watch bitchlmfao,unsafe,73,12
3,0,3,0,1,goofstroop woulda coulda shoulda ass hoe,unsafe,69,9
3,0,3,0,1,gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll,unsafe,85,11
3,0,3,0,1,hbmostdop jaye pipinho use send bitch,unsafe,60,9
6,0,6,0,1,hbmostdop ugli bitch like im wcw duh bitch aint nobodi els,unsafe,101,15
3,1,2,0,1,halotgmg stnamebravo nigga know hacki sack hoe nah throw look pass lmao,unsafe,98,16
3,1,2,0,1,heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,unsafe,143,24
3,0,1,2,2,hermosaalma isnt ghettoit smart im idc,safe,91,10
3,0,2,1,1,hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place,unsafe,140,25
3,0,3,0,1,hornyfact singl isnt excus hoe theonemissluu,unsafe,72,11
3,1,2,0,1,hoskinsti white boy power bitch black power bitch,unsafe,55,8
3,0,3,0,1,hudgen let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,unsafe,113,19
3,0,3,0,1,iscoutgirl verballyabrupt bitch u around world back,unsafe,94,14
3,0,3,0,1,itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set anelylov,unsafe,161,26
3,0,2,1,1,itsyesi oomf soooo cute probabl hoe lot,unsafe,72,14
3,0,3,0,1,jayten everi cartoon alway nuffsaid save hoe lmao lmao damn captain saveaho,unsafe,130,17
3,0,1,2,2,jreebo want get nose bad boi scalli chav sockfetish stink hot sox leg,safe,137,21
3,0,3,0,1,jamesynba wish bitch like brother keezi ooooow bet,unsafe,86,17
6,0,6,0,1,jasminepor dress cat halloween basic pussi,unsafe,85,16
4,0,4,0,1,jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get katielt,unsafe,117,20
3,0,3,0,1,joebudden stop scare choke sex u bitch ass nigga shell like say guy hit women bed foh,unsafe,142,26
3,0,3,0,1,johnnyperez whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,unsafe,120,21
6,0,6,0,1,kazatta takehov oh man molli ho fuck ya seed fix,unsafe,97,19
3,0,3,0,1,kelsiebelsi your man refer everi girl bitch,unsafe,70,14
3,0,3,0,1,keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,unsafe,113,19
3,0,1,2,2,keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,safe,138,26
3,0,2,1,1,kingcuh stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,unsafe,91,14
3,0,3,0,1,kinghendo vondreaam naw old tape new cover upcom mixtap kingofthehil yeah im wait hoe mayn,unsafe,134,22
3,0,3,0,1,kingteej ol dirti foot ass bitch funni,unsafe,67,12
3,0,3,0,1,kingshawn whitethunduh that get yellow flag amaz hell yeah niggi,unsafe,119,16
3,0,3,0,1,kissmysmile dont got time bitch actin iffi,unsafe,61,10
3,0,0,3,2,knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,safe,118,16
3,0,2,1,1,kyranadiya hoe aint loyal aint smfh amp wonder nobodi decent want,unsafe,127,18
3,0,3,0,1,lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,unsafe,140,27
3,0,3,0,1,lodycash dri pussi bitch alway blame condom,unsafe,105,10
3,0,3,0,1,lunarap shut yo bitch ass,unsafe,77,8
3,0,3,0,1,laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back,unsafe,105,17
3,0,3,0,1,latrobemark love hoe money wat wrong nigga,unsafe,75,12
6,0,6,0,1,lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,unsafe,140,22
3,0,3,0,1,lilfridayho easi cum easi hoe that fact,unsafe,51,9
3,0,3,0,1,lifeasbro charli sheen real major fuck respect charli sheen,unsafe,104,13
3,0,3,0,1,lightskingawdd wish bae got hoe tho,unsafe,73,13
3,0,3,0,1,lilmik fuck twerk bitch cook,unsafe,50,8
3,0,3,0,1,linniekravitz wesgodlaflar bitch wtf,unsafe,65,5
3,1,2,0,1,lipethegreat hrheyd lipethegreat shut zoe fight pussi zoe im good man good maam move along,unsafe,147,21
3,0,3,0,1,lolaaisdop lmao fuck snake bitch em,unsafe,47,7
3,0,3,0,1,loveableaizah big booti hoe everywher sheesh damn,unsafe,94,9
3,0,0,3,2,mlbnetwork stay tune mlbnetwork updat report yanke b teixeiramark week dlime bum,safe,140,22
3,0,0,3,2,mrad dezdlt play soccer cheat girl wear khaki colour cargo haircut yes lmfaosoccerboy,safe,150,17
3,0,3,0,1,madflyentist oregon choke everi year get field trash ass program rft,unsafe,81,13
3,0,3,0,1,mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,unsafe,144,25
3,3,0,0,0,markroundtreejr lmfaoooo hate black peopl there black peopl nigger,unsafe,117,15
3,0,3,0,1,master tolif gabrielastarr could u bitch potent,unsafe,78,12
3,0,1,2,2,maxmayo piss lad past would lick dirti sole slept,safe,104,16
3,0,1,2,2,maxmayo love frat boy w soft long sole,safe,69,9
3,0,1,2,2,maxmayo sexi lad hot sole arch,safe,72,9
3,0,3,0,1,megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel,unsafe,96,16
3,0,0,3,2,meshanoja vontethekidd got hick lol,safe,92,7
3,1,2,0,1,migsmichelen new twitter confus shit go back south america bitch,unsafe,97,17
3,0,3,0,1,miikitox toto mean ass vaginai think pussi caus toto santi like nasti pussi,unsafe,90,15
3,0,3,0,1,mikelahenri actual choos ugli bitch ass must fat,unsafe,105,18
3,0,3,0,1,mileycyrus bitch couldnt kill vibe ya tri dis love miley,unsafe,107,16
3,0,3,0,1,montrel im tire bitch say look mean nigga big af wear tight shirt grim everybodi,unsafe,122,20
6,0,0,6,2,motherjon bird grandkid may never see thank climat chang climat,safe,134,15
3,0,3,0,1,mvckfadden stay beauti bitch,unsafe,41,5
3,0,3,0,1,nickiminaj wutkinda r purpl ceeeleeeman gurl jus playin stupid hoe track still shit sum gurl,unsafe,136,23
3,0,3,0,1,nastycopp money get taller bitch get blurri,unsafe,63,8
3,1,2,0,1,newsomejad aint never seen bitch obsess nigga im obsess mine,unsafe,112,17
3,0,2,1,1,nicholast kobe stay talk trash let forget jaustin meant one smh,unsafe,128,18
3,2,1,0,0,nochillpaz least im nigger lmfao,unsafe,74,9
3,0,3,0,1,nofakingg peopl alway ask im mix bad asian bitch lol,unsafe,85,15
3,2,1,0,0,notoriousbm whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo,unsafe,121,21
3,0,1,2,2,osayitaintso ignorealllaw foster home imaginari trash whoa chill show everyth tf,safe,124,14
6,0,5,1,1,officialreplay lowkey tire tire quiet go sleep hoe,unsafe,84,15
3,0,3,0,1,prayingforhead macklemro stop bring weird nigger mention prayingforhead,unsafe,130,11
3,0,3,0,1,prettybossbrat dont love hoe,unsafe,63,7
3,0,3,0,1,patrickquelo yo girl cant homeboy ol weak bitch ass nigga,unsafe,77,14
3,0,3,0,1,patsfanjo dpalomino think worst advic gave dont pussi speed lol,unsafe,103,19
3,0,3,0,1,poemsporn quot tweet favorit animalpussi,unsafe,62,8
3,0,3,0,1,poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper,unsafe,140,21
3,0,3,0,1,poffalici andrewbry poff doubl vision beer poff doubl pussi smh,unsafe,105,15
3,0,3,0,1,poobi bitch twerk comput ya ya damn,unsafe,112,15
3,0,3,0,1,prodsjewel sreadthepeac yungmindless peacepunkprinc princ art nobodi takin bitch,unsafe,151,13
3,0,1,2,2,quant welfaregovern aid claim white peopl yall black slander trash,safe,106,17
3,0,3,0,1,quant bitch dont care play role,unsafe,62,10
6,0,6,0,1,queenkaaat took find hide lime tree iemonaid dis bitch da wrong tree bro,unsafe,130,26
6,3,2,1,0,rtnba drake new shoe releas nikejordan yes there glitter shoe dude fag,unsafe,140,20
3,0,1,2,2,rachiesoul dizzleoffici inna di ghetto alon lmaoo,safe,64,8
3,0,1,2,2,ramboutit master tolif ramboutit hoe austin teach us austini teach u get curv that know,safe,136,19
3,1,2,0,1,reachtheeclimax bitch cant cook know suck dick one,unsafe,101,19
3,0,3,0,1,renegademo fat hoe get chose lol,unsafe,37,6
3,0,3,0,1,riahsm hoesaintloy well theyr hoesno one expect loyal,unsafe,75,11
3,0,3,0,1,rishaawilliam treshonscroog nevertrustt ol bitch ass,unsafe,85,7
3,1,2,0,1,rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo,unsafe,105,18
3,0,3,0,1,sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,unsafe,133,24
3,0,3,0,1,samjlayman holi shit freddi highmor charli chocol factori roll floor laugh,unsafe,120,19
3,1,2,0,1,samirahus dont want sex gf feel like im use anonym whata faggot,unsafe,115,21
3,0,3,0,1,sexualgxf one follow somebodi bitch dont,unsafe,121,16
3,0,3,0,1,shaajenkin ya bitch alway bitch clear care annoy bitch,unsafe,89,14
3,0,3,0,1,shantaughth catfish hoe thinkin slick nigga catch,unsafe,90,12
3,0,3,0,1,shewenttojordan cant worri bitch aint worri bout real,unsafe,78,12
3,0,3,0,1,showarr side hoe insecur nigga cant handl real one,unsafe,78,13
3,0,3,0,1,shunstok rt bluprint lmao bitch come scoot tent like fuck shit,unsafe,175,20
3,0,3,0,1,shunstok cousin said share hoe brother said share care love brother,unsafe,124,21
3,0,3,0,1,slimgirlprobz im hungri ionn wanna spend money foodbrok hoe problem,unsafe,131,14
6,0,6,0,1,smeegbabi dese hoe lyin us nigga,unsafe,50,10
3,0,3,0,1,snakecharmsdump oh yeah fuck bitch,unsafe,66,7
3,0,1,2,2,sportscent eli man threw nfllead th intercept season lmao trash,safe,99,14
3,0,1,2,2,sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team hes bitch,safe,145,21
3,0,3,0,1,stellatex guess also zero time mansplain adio stfu pussi,unsafe,88,14
3,0,1,2,2,stephenwildboy chill sexi scalli lad,safe,83,7
3,0,3,0,1,strap aint share bitch mine mine,unsafe,69,12
3,0,3,0,1,sukmysweet money impress simpl broke bitch,unsafe,62,8
3,0,2,1,1,sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht,unsafe,107,16
3,0,1,2,2,teejonez stanley kingcuh tuku ho idk blah blah blah,safe,89,10
3,0,1,2,2,teejonez kingcuh stanley im mad cuh hahaha suur tuku ho ita,safe,97,13
3,0,3,0,1,tayknosbest hoe crazi,unsafe,35,5
3,0,3,0,1,taylorrbabe aint ever gonna slice bitch kevin hart,unsafe,71,12
3,0,3,0,1,thatniggatroy oomf fuckin fine tho dam dont bitch,unsafe,81,14
3,1,2,0,1,thegamerkingkev wonder girl gave head boy drink magaluf twitter probli send nude fag,unsafe,133,25
3,0,3,0,1,thenewsat newsatquest yeah bitch yeah bitch call mayb b steveo c later jess pinkman machinegunkelli,unsafe,144,19
3,0,3,0,1,thenymphotweet hicki thigh right pussi gtgtgt right,unsafe,96,14
3,0,3,0,1,theonemissluu would still love im longer young beauti ugli monkey ass,unsafe,103,17
3,1,2,0,1,therealrickyb jetsandaswish gook yall come frontbitch aint come,unsafe,96,11
3,1,2,0,1,therealrickyb jetsandaswish faggot bitch,unsafe,72,5
3,0,3,0,1,therealistsam madrid yea im ipad dont work friday let ball faggot tropicalblanketi work,unsafe,129,20
3,0,1,2,2,theo scalli lad would get,safe,65,8
3,2,1,0,0,theomaxximus gerryshalloweenparti halloween yesterday stupid nigger,unsafe,99,8
3,0,2,1,1,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead,unsafe,128,18
3,0,3,0,1,thornton kantkeepahbytch love eat pussi lol never get full lol eat shit forev lol ever,unsafe,133,21
3,0,3,0,1,tmaccgfg voiceofdstreetz tmaccgfg tizzimari slush hoe nasti anyway famthem hoe tast like med,unsafe,189,14
3,0,2,1,1,tmaccgfg tizzimari slush hoe nasti anyway fam,unsafe,91,8
3,1,2,0,1,tmaccgfg bobbi bitchbi bobbyshmurdag get live fuck hell yea play hoe workout,unsafe,115,19
3,0,3,0,1,trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner,unsafe,171,15
3,0,3,0,1,tweetgamelazi ride bitch handl bar,unsafe,59,10
3,0,3,0,1,tyjoncuffe aint hoe get traphoussseeee,unsafe,68,12
3,0,0,3,2,uberfact sad tv charact death still bitter stark man,safe,134,16
3,0,3,0,1,unholyjack harbor bitch parti bus hoe lol,unsafe,70,11
3,0,3,0,1,vbomb woodchuck pussi love,unsafe,38,5
3,0,3,0,1,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey bitchi promo,unsafe,134,15
3,0,3,0,1,vineforthebyrd way fuck bitch lmfao kittycopt,unsafe,92,11
3,0,0,3,2,wbur smuggler explain help fighter along jihadi highway,safe,102,13
3,0,3,0,1,wbeezi quathegreat aww avi look cute togeth gotta get ike avi bitch,unsafe,164,22
3,0,3,0,1,wbeezi rundrc simpl dont hoedont worri expos fight mewhi,unsafe,104,16
3,0,3,0,1,wannabekany whys bitch boost size isnt exact healthi tho,unsafe,119,15
3,0,3,0,1,withaprettyfac nonlykeisha bet bitch kim bye,unsafe,133,11
3,0,3,0,1,xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,unsafe,124,19
3,0,3,0,1,xojennygirl im make marack girlfriend marackaf aye b pullin hoe like taught,unsafe,104,18
3,1,2,0,1,xoxoangie bruno fag boy love,unsafe,43,7
3,0,3,0,1,yehitsvon rundrc must bitch sike naw alway beef,unsafe,138,18
3,0,0,3,2,yanke yanke look ralli bottom th rallycap,safe,80,14
3,0,3,0,1,youngricooo wexicanafro dont take advantag nice person hoe everyjuan,unsafe,101,11
3,1,2,0,1,youngricooo happi birthday bitch nigga wexicanafro thank pal,unsafe,69,8
3,0,3,0,1,youngricooo sad know hoe wont fuck bc aint got stack wait till friday,unsafe,104,18
3,0,3,0,1,yungmigo shanea cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca,unsafe,113,19
3,0,3,0,1,zoebarton hrheyd ewww said last sundaya last sunday read nig,unsafe,152,19
4,1,3,0,1,badab punch real nigga face caus pussi nigga gonna punch right back strong mush shake,unsafe,123,23
3,0,3,0,1,beedontcar pussi still fresh lt someth stank girl say,unsafe,73,10
4,0,4,0,1,geewillik ass slap one greatest thing haha slap girl ass got mad aint get pussi week,unsafe,146,28
3,0,3,0,1,tommycollin wearerichnow buffalobil yeah texan much better fuck retard see your mad,unsafe,129,19
3,1,2,0,1,malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild,unsafe,134,20
4,0,4,0,1,sugga there lane bitch need stay left n get right fuck outta face,unsafe,138,22
3,0,3,0,1,sneakyb hate boy deni bitch smh,unsafe,81,12
3,1,2,0,1,taradis ya nig still say yall dont eat butt straight face,unsafe,92,15
3,0,3,0,1,yourewelcom im boss ass bitch need sit corner,unsafe,71,13
3,0,3,0,1,iwantfranni hes hoe cant,unsafe,37,7
3,0,3,0,1,prettyflvck paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street,unsafe,143,19
6,0,6,0,1,rapdream bitch hold nigga get lock nigga go colleg militari differ stori,unsafe,147,26
3,1,2,0,1,simplycaitlin friend hate ratchet hoe,unsafe,72,12
3,1,2,0,1,adriwadrri love fuck nigga hoe,unsafe,50,8
3,0,3,0,1,airmaxlad hot meat sexi fuck scalli lad would love meet trainer,unsafe,114,18
3,0,3,0,1,airmaxlad sniff perv scalli lad fuck yeah,unsafe,76,9
3,0,3,0,1,alejandrap bitch love sosa,unsafe,41,5
4,0,3,1,1,alexissixela whitethunduh legit watch second wtf prob caus retard smh,unsafe,145,21
3,0,3,0,1,allisonnamaya name cat idea mr pussi,unsafe,61,10
3,0,2,1,1,altosteel woof woof sexi thug boy scalli,unsafe,72,8
3,0,3,0,1,ambitiousbre nonlykeisha u see damn phone ring marri bitch make demand havent call,unsafe,155,19
3,0,3,0,1,analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe,unsafe,110,19
3,0,3,0,1,angelenagoley sex posit u call fuck soul outta bitch,unsafe,139,16
3,2,1,0,0,ashlingwild itsnotadam bore suppos cute faggot sometim,unsafe,80,11
3,0,0,3,2,ayyeecee one man trash anoth man treasur,safe,75,10
3,0,3,0,1,babineaux dont got type bad bitch thing like iongotnotyp,unsafe,86,15
3,2,1,0,0,bigbootybishopp whitethunduh lassen cc coach want feel youll get nig doubt,unsafe,106,19
3,0,3,0,1,bleedingtrap god teeth gold chain white bitch cocain,unsafe,64,10
3,1,2,0,1,cheetahbluntz hoe hoe shhhhh,unsafe,57,8
3,0,3,0,1,chieflottaho dc call roller chiraq call thot across america known hoe,unsafe,129,23
