count,hate_speech_count,offensive_language_count,neither_count,class,labels,cleaned_tweet
3,0,2,1,0,negative,pisces never anybody bitch let people control change rigghhht
3,0,1,2,1,positive,tuku ho idk blah blah blah
3,0,1,2,1,positive,not mad cuh hahaha suure tuku ho ita
3,0,3,0,0,negative,hoes crazy
3,0,3,0,0,negative,ever gonna slice bitch kevin hart
3,0,3,0,0,negative,oomf fuckin fine tho dam bitch
3,1,2,0,0,negative,wonder girl gave head boys drink magaluf twitter probly sends nudes fags
3,0,3,0,0,negative,newsatquestions yeah bitch yeah bitch call maybe b steve c later jesse pinkman
3,0,3,0,0,negative,hickies thighs right pussy gt gt gt right
3,0,3,0,0,negative,would still love longer young beautiful ugly monkey ass
3,1,2,0,0,negative,come front bitch coming
3,1,2,0,0,negative,faggot bitch
3,0,3,0,0,negative,yea ipad work friday let ball faggot work
3,0,1,2,1,positive,scally lad would get
3,2,1,0,0,negative,gerryshalloweenparty halloween yesterday stupid nigger
3,0,2,1,0,negative,chrus still supahot tho walks teacher test drops test bitch fohead
3,0,3,0,0,negative,love eating pussy lol never get full lol eat shit forever lol ever
3,0,3,0,0,negative,slushes hoes nasty anyway fam hoes taste like meds
3,0,2,1,0,negative,slushes hoes nasty anyway fam
3,1,2,0,0,negative,bobby bitch getting live fuck hell yea play hoe workout
3,0,3,0,0,negative,yo bitch gucci mane bitch stoner
3,0,3,0,0,negative,ride bitch handle bars
3,0,3,0,0,negative,hoe get traphoussseeeee
3,0,0,3,1,positive,sad tv character deaths still bitter stark man
3,0,3,0,0,negative,harbor bitches party bus hoes lol
3,0,3,0,0,negative,pussy love
3,0,3,0,0,negative,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
3,0,3,0,0,negative,way fuck bitch lmfao kittycopter
3,0,0,3,1,positive,smuggler explains helped fighters along jihadi highway
3,0,3,0,0,negative,aww avis look cute together gotta get ike avi bitch
3,0,3,0,0,negative,simple dont hoe dont worry exposed fight
3,0,3,0,0,negative,whys bitch boosting size exactly healthy tho
3,0,3,0,0,negative,bet not bitches kim bye
3,0,3,0,0,negative,damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco
3,0,3,0,0,negative,making marack girlfriend aye b pullin hoes like taught
3,1,2,0,0,negative,bruno fag boy love
3,0,3,0,0,negative,must bitch sike naw always beefing
3,0,0,3,1,positive,yankees look rally bottom th rallycap
3,0,3,0,0,negative,take advantage nice person hoes everyjuan
3,1,2,0,0,negative,happy birthday bitch nigga thanks pal
3,0,3,0,0,negative,sad knowing hoes fuck bc got stacks wait till friday
3,0,3,0,0,negative,cinco shit harder fucc nigga yee fucc wit rich homie cuz dats ya homeboy fucc nicca
3,0,3,0,0,negative,ewww said last sunday last sunday read nigs
4,1,3,0,0,negative,punch real niggas face cause pussy nigga gonna punch right back strong mush shake
3,0,3,0,0,negative,pussy still fresh lt something stank girls say
4,0,4,0,0,negative,ass slapping one greatest things haha slapped girl ass got mad aint get pussy week
3,0,3,0,0,negative,yeah texans much better fucking retard see mad
3,1,2,0,0,negative,nd wtf dark bitches blonde please several seats hoe looking like black amp milds
4,0,4,0,0,negative,lane bitches need stay left n get right fuck outta face
3,0,3,0,0,negative,hate boys deny bitches smh
3,1,2,0,0,negative,ya nigs still saying eat butt straight face
3,0,3,0,0,negative,im boss ass bitch needs sit corner
3,0,3,0,0,negative,hoe
3,0,3,0,0,negative,paul thinkin bout gettin rentals da weekend oooh shit bitches betta stay da streets
6,0,6,0,0,negative,bitches hold nigga get locked nigga go college military different story
3,1,2,0,0,negative,friends hate ratchet hoe
3,1,2,0,0,negative,love fuck niggas hoes
3,0,3,0,0,negative,hot meat sexy fuck scally lad would love meet trainers
3,0,3,0,0,negative,sniff perved scally lad fuck yeah
3,0,3,0,0,negative,bitches love sosa
4,0,3,1,0,negative,legit watched seconds wtf prob cause retarded smh
3,0,3,0,0,negative,name cat ideas mr pussy
3,0,2,1,0,negative,woof woof sexy thug boy scally
3,0,3,0,0,negative,u see damn phone ringing married bitches makes demands called
3,0,3,0,0,negative,tevin favorite sophomore think funny hes really not lmaoo hes little hoe
3,0,3,0,0,negative,sex positions u call fucking soul outta bitch
3,2,1,0,0,negative,bored supposed cute faggot sometimes
3,0,0,3,1,positive,one mans trash another mans treasure
3,0,3,0,0,negative,got type bad bitches thing like iongotnotype
3,2,1,0,0,negative,lassen cc coach wants feel youll get nig doubt
3,0,3,0,0,negative,god teeth gold chain white bitches cocaine
3,1,2,0,0,negative,hoe hoe shhhhh
3,0,3,0,0,negative,c call rollers chiraq call thots across america known hoe
3,0,3,0,0,negative,gonna miss bitch bus driver lie
3,0,3,0,0,negative,hate bitches try put friendzone bitch tryin score put endzone soul
3,0,1,2,1,positive,ashley young tried deny bird landed mouth gt hahaha
3,0,3,0,0,negative,yall gimped tht bitch huh lol
3,0,1,2,1,positive,take ride woof woof
3,1,2,0,0,negative,oh god love victoria mitchell bitches love
3,0,3,0,0,negative,long distance shit wack knew bitch cheating uh oh
3,0,3,0,0,negative,right bitches smh
3,0,3,0,0,negative,ban dat pussy life amp gotta pay millon dollar fine
3,1,2,0,0,negative,roses red violets blue niggers black know true
3,0,0,3,1,positive,sitting window sill window open bird tries fly smacked protecttheanimals
3,0,3,0,0,negative,nigga gon nigga nigga sound fuckin retarded
3,0,0,3,1,positive,video entire media likely mock crybaby
3,0,3,0,0,negative,not even shy stfu kikis mom hi angelique angelique smiles dips cracker soup
3,0,3,0,0,negative,tim tebow got cut every team nfl already got hoes starkville smh
3,0,3,0,0,negative,karma bitch damn godprotectshisangels sips tea
3,0,3,0,0,negative,fuckin hot gym pussy fuck yeah
3,0,0,3,1,positive,jihadi patron hajjaj al ajmi arrested kuwait airport
3,0,2,1,0,negative,call fireman cause turn hoes
3,0,3,0,0,negative,could never bby lil dick thts got abortion last bitch oh god
3,0,3,0,0,negative,watch women try argue like dick actually fucked pussy hate bitches
3,0,3,0,0,negative,smoke weed public fuck cops man wanna run come retarded
3,0,0,3,1,positive,tweety bird tho
3,0,3,0,0,negative,pussy sweet like watermelon thotermelon
3,0,1,2,1,positive,twitter rappers dm trash links
3,0,3,0,0,negative,loud bitches annoy
4,0,4,0,0,negative,eventually every bitch turns hoe truuu
3,0,3,0,0,negative,swear oomf try talking tomorrow pussy
3,0,3,0,0,negative,bitches pretending tf crazy never lied
4,0,3,1,0,negative,k bye hoe um bye
3,2,1,0,0,negative,jackies retard blondeproblems least make grilled cheese
3,1,2,0,0,negative,ima keep giving pussy ass niggas ah reason hate
3,0,0,3,1,positive,photo sole heaven
3,2,1,0,0,negative,stacey dash baddest bitch evaaaa
3,0,3,0,0,negative,side bitch sunday
3,0,3,0,0,negative,facts baldheaded bitch made shit lmao
3,0,3,0,0,negative,fuck wit us tweakin hoe shmurda
3,0,0,3,1,positive,actin like th day spook
3,0,3,0,0,negative,break lil bitch neck even feel sorry savage
3,0,3,0,0,negative,fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies
3,1,2,0,0,negative,dumb ass niggas pressed hoes weak fuck fuck weed hoes oreos
3,0,3,0,0,negative,turn yo bitch eaterrrrrrrrr
3,0,3,0,0,negative,trust dese hoes nikki told st stay fans screen shot asap finna come chiraq shoot sumn
3,0,3,0,0,negative,aye yall ima tryout bowling team frfr tryouts passed tho theres two retard
3,0,3,0,0,negative,u got u want bitch enjoy crazy party would love attend
3,0,0,3,1,positive,colored contacts eyes blinders mine cause see lmao
3,0,3,0,0,negative,facts dudes hoes say got hoes
3,0,3,0,0,negative,rea start smacking bitches period bluffin best
3,0,3,0,0,negative,lifes bitch die thats get high cause neva know gonna go sister perfect
3,0,3,0,0,negative,one us drugs still wrong hahahahahahah im bitch sometimes
3,1,2,0,0,negative,feeling pretty fuckin ghetto smh
3,0,0,3,1,positive,swears man easily easily behind austin nip
3,0,3,0,0,negative,true ride die bitch fuck hahahahah
4,0,0,4,1,positive,h g wells charlie chaplin history photography
3,0,3,0,0,negative,see bruno bitch ass twitter wtf bruno sees drake voice
3,0,3,0,0,negative,cool faggot chill tf cool nigga
3,0,3,0,0,negative,sure bitch frfr tf
3,0,3,0,0,negative,twitter not source news broadcast fucking retards nbc abc cnn fox etc keeping quiet
3,0,3,0,0,negative,got couple bitches saying know let money talk like wwyd
3,0,3,0,0,negative,grudges weirdos bitches
3,1,0,2,1,positive,told mariam cigarettes birthday also called trash rn
3,0,0,3,1,positive,brownies tonight kind
3,0,3,0,0,negative,text back give fuck text another bitch damn someone hurt lol
6,1,5,0,0,negative,ummmmmm okay got hoes left right yah thang
3,0,3,0,0,negative,using mx b find slope ass
3,0,0,3,1,positive,fit lads nice gear scally lads n trainers would get
3,0,3,0,0,negative,hell yeah bro fuck yeah sexy scally lad hot gear
3,0,3,0,0,negative,helping mate love scally play fuck yeah
3,0,2,1,0,negative,lads lads fuck yeah love scally lad action hot trainers
3,0,3,0,0,negative,next year bitches gonna like gotta promise expose
3,0,3,0,0,negative,hot lick bitch fuck yeah eat trainer u dirty fucker
3,0,3,0,0,negative,think celebrity pussy different locals yeah meghan goods
6,0,2,4,1,positive,saw ajumma walk beginning saying wow trash even listen lmaoo
3,0,3,0,0,negative,need sox fuck yeah love kinky scally lad w rank sox sneaks
3,1,2,0,0,negative,ever expose females like childish bitch nigga shiiii
3,0,3,0,0,negative,yasss trys new things bestfriend bitch love
3,1,0,2,1,positive,dude remember wop video omg find
3,0,2,1,0,negative,thick raw fuck damn man pussy getting workout
3,0,0,3,1,positive,rawr sexy french scally love frenchscally sexy scally woof woof
3,0,3,0,0,negative,nothin life free bitches need write ya panties
3,0,3,0,0,negative,one bitches want burrito u catch potosino huh haha
3,1,2,0,0,negative,niggas whole hoes cuz said better
3,0,3,0,0,negative,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitches
3,0,3,0,0,negative,yourenotmytype fade perpetually fresher real ass bitch rite
3,0,3,0,0,negative,annoying bitch love judyann pretty
3,0,3,0,0,negative,lmao bitch got huggies
3,0,3,0,0,negative,hi bitch bitch bye bitch
3,0,3,0,0,negative,look like bitch
3,0,3,0,0,negative,chase money not hoes
3,0,3,0,0,negative,stand know want ass nigga bitch
3,0,3,0,0,negative,way love chav hot sexy scally fucker
3,1,2,0,0,negative,newly gay bitches kno shit works
3,0,3,0,0,negative,bitch want real job become strippers lol lol
3,0,3,0,0,negative,awww meat meat feelins ainn n feelings bitch
3,0,2,1,0,negative,want snake bites industrial piercin amp tattoo dem hoe accessories dea
3,0,0,3,1,positive,baby albino
3,0,3,0,0,negative,hoes loyal
3,1,2,0,0,negative,yassssss ordered chinese bitch ate tacos fat fuck
3,0,3,0,0,negative,made bitch lunch bitches love lunch
6,2,4,0,0,negative,brainer soon bitch gets rich political power views change political whores
3,0,3,0,0,negative,pussy day keeps devil away
3,0,3,0,0,negative,bitch mean
3,0,3,0,0,negative,bitches want baby want children
3,0,2,1,0,negative,bitch must lost
3,0,3,0,0,negative,baby like left side bitch cuz street side twitter said real
6,0,1,5,1,positive,bae sounds like ghetto word use something else
3,1,2,0,0,negative,batter wee cunt jewis cos fucked ex emma isnt battering girls nailed ive moved stop pussy n urself
3,0,3,0,0,negative,bleed hoe alexa
3,0,3,0,0,negative,boolin bando wit bitches
3,0,0,3,1,positive,brownies brownie love movie
3,0,3,0,0,negative,need bad bitch hotter might realist shit partynextdoor ever said feelin everyday
3,1,2,0,0,negative,way punch bitches
3,0,3,0,0,negative,caesar home much bitch looks like lets start ape shit
3,0,1,2,1,positive,chinese maverick communicating comrade u know giving imperialist yanks birdie
3,0,3,0,0,negative,dad say hi snapchat dad duces bitch
6,0,5,1,0,negative,believe hoes not fact loyal disagree believe fact loyalest bunch hoes
3,0,3,0,0,negative,know ugly bitches know broke niggas
3,0,3,0,0,negative,make make fall live nigga like meee birds amp favorite songs weeknd
3,2,1,0,0,negative,worry nigga see worry nigga see dat da nigga fuckin yo bitch
3,0,3,0,0,negative,ever give pussy away keep tight alright
3,0,3,0,0,negative,dropped stack cause bitch song called dope download mixtape
3,0,3,0,0,negative,dumb bitches dumb things
3,1,2,0,0,negative,eat pussy like real nigga hungry
3,1,2,0,0,negative,eff let go cripple
3,0,2,1,0,negative,everything look better bitch next
3,0,3,0,0,negative,facto cares hoe ass looks like
3,0,3,0,0,negative,every bad bitch nigga tired fucking
3,0,3,0,0,negative,foreign chick lie man bitch beautiful
3,1,2,0,0,negative,fresh nigga kno need clean bitch kno working cuz wanna see team rich
3,0,3,0,0,negative,fuck make rules suck dragon balls bitch call goku
3,0,0,3,1,positive,generate ascii boxes nodejs see ability bring flappy bird node via ascii tubes bird
