class,labels,cleaned_tweet,sentiment_score
0,negative,nigger hair comin bitch dread back forgot century ago,-0.9022
0,negative,im asking ask bitch prom marry guareenteed yes,-0.2732
0,negative,hbic head bitch charge lol,-0.25
0,negative,unfortunate everyone thinks think bitch even meet chronicbitchface sorryimscary,-0.7783
0,negative,fuck tho really entire fucking fuck world media medium gone go obama retarded retard not know medical science protocols protocol wuh,-0.9337
0,negative,dis nicca still rapping rap,0.0
0,negative,take u coons coon nowhere amp mean nowhere,0.0
0,negative,think okay take property break fuck bitch,-0.7506
0,negative,k michelle keyshia cole lol bitter hurt bitch music horizon,-0.802
0,negative,says say one fills fill empty hole inside worshiping worship royal u kno may raging rag snotty bitch,-0.7003
0,negative,text u nigglet,0.0
0,negative,damn many fake niggas nigga amp bitches bitch,-0.9423
0,negative,sydneys sydney favorite nigger love,0.4404
0,negative,start garfield monday yeahhhhhh lil bitch,-0.5859
0,negative,yes bird tweets tweet morning lovely remember hearing bird cock get rock hard bird,0.6705
0,negative,light skin bitches bitch unread texts text amp still tweet nobody talk bitches bitch outta control,-0.9468
0,negative,buy girl stuff twink ass as bitch,-0.8074
0,negative,bitch tha tha,-0.5859
0,negative,lmao bummy bitches bitch,-0.5859
0,negative,rick james bitch,-0.5859
0,negative,ok got get ta cut carl thomas album b call ex amp say fuck u u ruthless bitch lol,-0.6597
0,negative,hell plasticassed bitch,-0.8555
0,negative,side hoe hey boyfriend,0.0
0,negative,actual quote local cop many pussies pussy town,0.0
0,negative,mite hit rec know cell marcus jax gone go try hit hoe,0.0
0,negative,bitches bitch need get right wid,-0.8271
0,negative,niggas nigga shit hoes hoe tricks trick,-0.7717
0,negative,crazy wayne rap pussy songs song row,-0.34
0,negative,hardly ever sober bitch party till,-0.2111
0,negative,eat dick bitch,-0.7964
0,negative,got get moms mom ass as breath pussy,-0.5423
0,negative,yeezus fuckin trash,0.0
0,negative,nigga go damn dark skinned skin hoes hoe havin ass as lookin like pokemons,-0.5719
0,negative,redskins redskin trash fuck not getting get,-0.5423
0,negative,chatt niccas love doin dat brah,0.6369
0,negative,emo ok emosquad k get level bitch,-0.3818
0,negative,trash talking talk athlete vs v violent congressman real thug via,-0.5994
0,negative,even lift pussy,0.0
0,negative,mum agrees ur wee moody cunt cani deal fact right dadsbeingsilly,-0.5994
0,negative,little fucking fuck gook smells smell like shit thinking think motherfuckin boss bos fuck,-0.8197
0,negative,move dat muscle hoe tell watchu mad foe,-0.7269
0,negative,tucked yo bitch u ignorant ass as mother fucker,-0.9287
0,negative,bet good pussy,0.4404
0,negative,pop nigguh sound like crisco,0.3612
0,negative,nigga u called call bitch last time check im fucking fuck nigga get ill show u real fight like,-0.8807
0,negative,bitch hangs hang one time,-0.5859
0,negative,better well called call kid pussy,0.6124
0,negative,know ratchet bitches bitch rep north side,-0.8271
0,negative,knowww righttt even know use shit update status hoe,-0.5574
0,negative,old bytches sorry phuck sack pussy get ripe,-0.0772
0,negative,ask bitch bitches bitch,-0.91
0,negative,lakers trash right,0.0
0,negative,fuck wrong w bitches bitch lately,-0.936
0,negative,stop looking look porn fag,-0.6486
0,negative,stank ass as hoes hoe haha,-0.5267
0,negative,bears bear game today bitches bitch not mention lean bud train ride lol goodday,-0.7096
0,negative,lol im brooo bitches bitch janky,-0.7096
0,negative,thats call lol beyond ghetto smh man u needa quit playin come back,0.128
0,negative,bitch mad af,-0.7906
0,negative,tf lyssa toilet mouth ass as wassup twatching hoe,-0.5423
0,negative,tweetlikelexi nah not gon na sit gon na walk bitch,-0.6369
0,negative,pussy like girls girl zaaaammnn pussy gay,0.3612
0,negative,occupyslu ima fuck white bitch slap choke said say livestream interview w fe,-0.8807
0,negative,im car jamming taylor swift side bitch,-0.4588
0,negative,wow putting put whole manifesto using use twitlonger canadian hey hoser many adopt,0.6705
0,negative,fucking fuck hate ignorant ass as bitches bitch,-0.9661
0,negative,fat bitches bitch flat booty hoes hoe today wackkkkk,-0.8271
0,negative,got get red ass as bitch wid red ass as pussayyy,-0.8957
0,negative,jackie old bamma ass as bitch,-0.8074
0,negative,bitch wan na get slick,-0.5859
0,negative,got get ta colored color,0.0
0,negative,jtfooooo pussy fleek,0.0
0,negative,ion even ask lightskin bitches bitch nudes nude nomo fuck,-0.9042
0,negative,turn instagram likes like follows follow real life shit trash,0.1779
0,negative,bitch u lying lie justin account ugly indian,-0.8885
0,negative,smells smell meaty dis bitch,-0.5859
0,negative,work graveyard shift cheating cheat tops top somebody else gon tucking tuck ya bitch,-0.8176
0,negative,photoset biggest big pussy seen see china,0.0
0,negative,good mernin faggots faggot,-0.7717
0,negative,point enjoy watching watch harden anymore constantly pisses piss stop bitch,-0.7845
0,negative,first calling call hoe make go sharkeisha ok boo boo,0.296
0,negative,ill slap hoe,-0.296
0,negative,jealousy make bitch anything thirst make nigga anything,-0.7269
0,negative,every chick say bad bitch,-0.8074
0,negative,dykes dyke hunter dyke dyke,0.0
0,negative,gimmmmmie hoodrat bitch,-0.5859
0,negative,let see goes go lol using use coupon haha kik dm text ya tweet hoe lolololol,0.7003
0,negative,teachers teacher always assign homework like life bitch got get ta go home tweet,-0.3182
0,negative,terms term like honkey cracker peckerwood stereotypes stereotype white people fucking fuck kids kid sisters sister racist sweet,-0.6486
0,negative,tell bitch nigga,-0.5859
0,negative,hoe man wants want godly,0.0772
0,negative,dudes dude hoe laughin pics pic,0.0
0,negative,girl sucks suck dick somehow dudes dude get head dudes dude fuck bad bitches bitch yet ugly girls girl getting get pregnant,-0.9792
0,negative,bitch turn crash,-0.7579
0,negative,really tired tire constant bitch face,-0.7902
0,negative,would liked like backup handle gang retards retard,0.2263
0,negative,lmaoo nigger scared scar results result supposed suppose today lol lol,-0.3818
0,negative,said say neva love bitcccccch bitches bitch steady lovin ayeeee,-0.5423
0,negative,yall mean whoever running run back telling tell tunchi wtf not nigga dog niggas nigga nd bitches bitch,-0.8876
0,negative,niggas nigga talk pussy get least shine box glittery pussy,-0.34
0,negative,every bitch houston look good,-0.2263
0,negative,lifes life bitch,-0.5859
0,negative,believe actually killed kill cockroach smh bitch probably nigga eduardo,-0.946
0,negative,real nigga shit wan na righteous young rich nigga bitch,-0.5859
0,negative,running run like bitch michael clifford role model inspiration many,0.2732
0,negative,guarantee things thing white never anywhere near real ghetto relative pig,0.25
0,negative,mother fuxker devil ah lie bitch truth,-0.7845
0,negative,know people ghetto leave plastic shit tvs tv,-0.5859
0,negative,somewhere ghetto nigger getting get shot bbq,-0.6486
0,negative,yo bitch macy tried try run store gaggle clothes got get caught,-0.5859
0,negative,got get ta stop pumping pump ugly hoes hoe heads head,-0.6705
0,negative,bitch not idiot troll spamblocked keep spewing spew ur shit,-0.6906
0,negative,yaz bitch yaz,-0.5859
0,negative,pussy good like left something,0.6597
0,negative,funniest yt comment ever received receive niggers nigger gon na nig shrugs shrug lmao racist muthafucka caught guard,-0.2023
0,negative,lightweight heavyweight matter still knock bitches bitch,-0.8225
0,negative,must sent bird call get shit,-0.5574
0,negative,fellas fella guess like asked ask looking look mean called call resting rest bitch face look w,-0.3182
0,negative,drive crazy ghetto ass as school everyday,-0.7096
0,negative,thats nate dumbass mock,-0.7506
0,negative,gum get soft sons son bitches bitch,-0.8271
0,negative,got get channing tatum bitch,-0.5859
0,negative,deans dean crying cry needs need pee peter keeps keep saying say nigger,-0.8885
0,negative,take bitch houston better well not speak another nigga meal still digestive system,0.0516
0,negative,ling ling talkin shit amp u finally understand,-0.5574
0,negative,vraag sven hij denkt hoe lichter van kleur hoe beter het morele kompas werkt ik ben kleurenblind,0.0
0,negative,jordan watcha college fuckin bitches bitch amp stuff ya know jordan alright seriously ichoosetobeabstinent,-0.8126
0,negative,dont hide bitch im high im public,0.5559
0,negative,omg dot sure not give away free bitch,-0.6372
0,negative,hate faggot corny,-0.8442
0,negative,birds bird wake tell shit,-0.5574
0,negative,every time posted post using use phone macy employee wan na scare bitches bitch,-0.8979
0,negative,hahahahahahah hook nose faggot get pussy sucks suck hockey nhl,-0.8689
0,negative,yeah wizards wizard agent zero bitches bitch,-0.7579
0,negative,yasss bitch get paid tho long dnt act crazy,-0.7351
0,negative,haha bitch,-0.2023
0,negative,clowney bitch nigga get ass as team,-0.8074
0,negative,bitch think cute guys guy hunny ur fake asf like ur weave dont even like u stfu,0.0258
0,negative,bout tht time hoes hoe gettin dicked,0.0
0,negative,trash tho edgewood basketball court,0.0
0,negative,shut bitch trying try sleep,-0.5859
0,negative,point take manual not bitch,0.4717
0,negative,says say scrawny nigger,-0.6486
0,negative,hoe loud,0.0
0,negative,alcohol drunk hoe miss,-0.4588
0,negative,well crazy bitch look motherfucker corpse find,-0.9246
0,negative,dr phil trouble figuring figure fat ass as wants want eat drinks drink bitches bitch,-0.9274
0,negative,ihate mad bitches bitch glad ones one,-0.836
0,negative,real bitch,-0.5859
0,negative,pussy shit,-0.5574
0,negative,man stop acting act like faggots faggot go win,-0.6705
0,negative,hate bitch got get fucked fuck teeth trynna smile pictures picture tf lmfao,-0.886
0,negative,bitch lmao,0.0258
0,negative,jody really pussy tho let lil niggas nigga jump take bike old head sonned front mama,-0.34
0,negative,upset got get faggots faggot show,-0.9042
0,negative,lmao dog type let faggots faggot try decipher,-0.6908
0,negative,trust man fear bitch wisewords,-0.5719
0,negative,bitch ass as nigga heres here new belt,-0.8074
0,negative,continue bitch cool,-0.3612
0,negative,cute teen gets get pussy flooded flood cum,0.4588
0,negative,gay ass as nigga bitch thought thought,-0.8074
0,negative,said say thin mints mint bitch,-0.5859
0,negative,fake bitches bitch nicetry,-0.8957
0,negative,lol bitch u forcin glass water bitch u lil thirsty puss pus thang,-0.7003
0,negative,im goin expecting expect get slept faggot,-0.6597
0,negative,dear daily mail misogynist pile twats twat,-0.4215
0,negative,bad bitches bitch really bad see pic aaliyah,-0.9403
0,negative,single ladies lady vs v cuffed hoes hoe,0.0
0,negative,ill break bitch like pussy,-0.6249
0,negative,ima beast dese niggas nigga food ima jus eat dat dat pussy bad big poppa gon beat dat,-0.7096
0,negative,fat dykes dyke make want vomit,0.0772
0,negative,people like bae real quick like bitch play cut,0.128
0,negative,fck wit luvv pussy better well crazy bitch apparently thots,-0.296
0,negative,sitting sit next ya girl ya side bitch text hey babe,-0.5859
0,negative,hell yeah bitch gon go ham,-0.802
0,negative,percent yo bitch percent scrap,-0.5859
0,negative,dani alves pulled pull hairstyle neymar looks look like faggot,-0.4404
0,negative,cheating cheat accident hoe fallin bike accident never seen see bitch trip amp land dick,-0.919
0,negative,burger days day old eat yr old pussy fine right,0.2023
0,negative,still talking talk animals animal know asian folks folk would love see prepare pussy eating eat,0.6369
0,negative,searching search incredible story white man quest find ingredients ingredient necessary make caribbean jerked chicken redneck land,-0.2023
0,negative,ur ballsack hairy gtfo tranny prude bitch,-0.5859
0,negative,duh lol tweeting tweet eating eat pussy back tongue made make obvious lol,0.6808
0,negative,boys boy want bad bitches bitch dummies dummy men want strong women woman respect support grind handling handle,-0.3612
0,negative,wannabe ghetto white girl deal unaccomplished black man sex,0.0
0,negative,freshmanadvice hoe get traphouseeeeeeee,0.0
0,negative,got get hoes hoe one hoes hoe not shutup amp never say,0.0
0,negative,pussies pussy wan na use royal icing ice gingerbread houses house fuck ima use homemade cream cheese frosting frost,-0.5423
0,negative,noveminember bitch artist year amas,-0.5859
0,negative,lot bitches bitch eat ass as nowadays,-0.9042
0,negative,love sweet girls girl sweet pussies pussy,0.8807
0,negative,nicca say ballin ask em title n deeds deed not wher clothes n keys key,0.0
0,negative,walked walk bitch like nigga made make,-0.3182
0,negative,tired tire corny vines vine ugly faces face stupid voices voice nigga sexy,-0.7351
0,negative,niggas nigga bitches bitch,-0.8779
0,negative,u faggot u heat leftover pizza,-0.6597
0,negative,niggas nigga cheat loyal beautiful women woman fucking fuck trash,-0.2263
0,negative,example even say cooler bein cool ice cold without somebody relating relate phi bitch,-0.3612
0,negative,fuck rebuild tranny driving drive like last years year till finally goes go,-0.25
0,negative,hoes hoe dick sweg learned learn best,0.2263
0,negative,paul mccartney faggot,-0.6597
0,negative,chase money not hoes hoe,0.0
0,negative,know nigga bitch niggas nigga got get nerve twitter,-0.7351
0,negative,main bitches bitch getting get kicked kick curve lol,-0.7096
0,negative,porn android iphone ipad sex xxx japanese pretty young japanese girl hot cunt fucked fuck amp c,-0.836
0,negative,hate lying lie ass as bitch,-0.9371
0,negative,dont get twisted twist said say aint playin ny state mind bitches bitch around clicks click link,-0.8271
0,negative,true ride die bitch fuck hahahahah,-0.8555
0,negative,side hoes hoe get love thotology,0.6369
0,negative,mother nature drunk bitch knows know party,-0.5423
0,negative,yall side hoes hoe gone go look valentines valentine day lol,0.4215
0,negative,sorry care bitch nigga fucking fuck w,-0.6597
0,negative,aint nun cut dat bitch,-0.4563
0,negative,niggah think gon come bestf fuck,-0.5423
0,negative,aw omg show made make cry pussy man really,-0.4767
0,negative,ruley bitch ry,-0.5859
0,negative,fuck bad bitches bitch,-0.9403
0,negative,dumb bitches bitch fucking fuck,-0.9382
0,negative,man went go real quick hoe fuck niggas nigga thought,-0.7096
0,negative,baltimore damn ghetto,-0.4019
0,negative,shirley temple bad bitch age well,-0.7351
0,negative,bitch pull hoes hoe u dream,-0.4215
0,negative,one time illest bitch alive,-0.296
0,negative,looks look like real dyke,0.3612
0,negative,yeah hoe,0.296
0,negative,yall bare hoes hoe yall dnt care bout spent childhood wild hood,0.4939
0,negative,god nigga trust trust gun cuz bitch jam fucked fuck trust niggas nigga bitches bitch got get dicks dick,-0.9477
0,negative,ohh mr tough cause live retarded retard city thinks think cool people like shoveling shovel snow broke bum,-0.765
0,negative,sounds sound like good idea want word spread jews jew niggers nigger commies commie alike,0.1027
0,negative,humble personality not hoe best non physical feature opposite sex,-0.5216
0,negative,coulda sworn last bitch tunchi ig,-0.5859
0,negative,think twitter change bird logo badass bald eagle merica,-0.1531
0,negative,ape like oh niggas nigga gon learn today,0.0258
0,negative,might havti give visit cunt going go family im done do,-0.4939
0,negative,hoes hoe want help want help,0.7184
0,negative,bitch u one steady talking talk stfu bout shit hoe ass as nigga,-0.8979
0,negative,buy pussy cuz free bitch buy lacs lac,-0.128
0,negative,kayci greet saying say hey cunt like makes make lol,0.5267
0,negative,hate copy cat ass as bitch monkey see monkey ass as bitch,-0.9601
0,negative,elementary school tied tie girl tetherball pole tetherball cause bein bitch,-0.5859
0,negative,police tried try rodney king nigga happen nig,0.0
0,negative,lol sam said say betty boop hoe,0.4215
0,negative,born black would tons ton kids kid never work get lots lot free stuff amp bitch thank god drag b,0.296
0,negative,wonder oomf like want fuck would wrong one brave bitch,-0.6369
0,negative,honestly surprised u guys guy ever seen see pussy,0.5994
0,negative,wan na buy bitch every bag,-0.5859
0,negative,bitches bitch play sides side get left middle,-0.743
0,negative,recruited recruit buku fags fag warehouse place,-0.4767
0,negative,ofcourse someone asks else eat jackass goes go brownies brownie big surprise dingbat,-0.1779
0,negative,real pussy ass as nigga would give fuck u think lmao stfu,-0.4767
0,negative,pull eat pussy dip,0.0
0,negative,post pic waves wave bringing bring curl back hoes hoe,0.0
0,negative,even get see baby today smh moms mom fault selfish bitch,-0.8979
0,negative,faggot eat pork chops chop,-0.6597
0,negative,wan na sex mom fuck right pussy came come damn got get hacked hack like fuck,-0.872
0,negative,care old put front bag takis eat bitch,-0.1531
0,negative,not want either suck pigs pig arse muzzie biotch get phuck go back hellhole life,0.2924
0,negative,profesional sports sport enjoyed enjoy white trash,0.7579
0,negative,seen see theses thesis niggas nigga lose basic bitch,-0.836
0,negative,seen see pic nigs robbing rob store caption said say protesting protest gos go fergerson lol like pigs pig either wtf,-0.7845
0,negative,rapper name would nigger,-0.6486
0,negative,karma theeeee biggest big bitch,-0.5859
0,negative,hoes hoe really loyal,0.5256
0,negative,ibs irritable bitch syndrome,-0.7845
0,negative,looked look news story thought fucked fuck kinda way hillbilly,-0.836
0,negative,feel like people want commit cut hoes hoe relax start complacent,0.6705
0,negative,would wife hoe cuz care cheating cheat force relationship first place,-0.5267
0,negative,idgaf ya mens men ya bitch none bitches bitch fuck care,0.1521
0,negative,negro keep adding add baby fat got get older old,0.0
0,negative,remember told yall bout coworker not lookin couple weeks week back karma hoe got get ass as,-0.5423
0,negative,somebody tell nigggas keep fuckin hoes hoe keep rockin shows show,0.0
0,negative,bitch chillin,-0.5859
0,negative,basically mad hoes hoe,-0.4939
0,negative,know ultimate warrior died die god loves love fag toosoon anti gay crusader little light jokes joke necessary,-0.0624
0,negative,girlfriend side bitches bitch main chick hoes hoe got get ex want back,-0.8126
0,negative,sober soul wasnt interesting interest bitch im living spmg ggl,-0.1695
0,negative,shit gon funny need get outta horrific car crash bitch,-0.9118
0,negative,never basic bitch never,0.4717
0,negative,bitches bitch bitches bitch bitches bitch,-0.9753
0,negative,yes touch bitch get ya shit knocked knock,-0.6908
0,negative,ghost picks pick u u dive pussy,-0.3182
0,negative,people comment fb statuses status like day like bitch wtf know,-0.5574
0,negative,since girl like argue sent bitch law school,-0.5719
0,negative,gon na rock cock gon na jam clam,-0.1531
0,negative,ever asked ask patience patience amp pussy mostly patience,0.0
0,negative,keshawn martin soooooooooo fucking fuck trash,-0.5423
0,negative,fucking fuck hoes hoe nigga waka hate man,-0.802
0,negative,yeah bitch taste good fucker,-0.6124
0,negative,see hoes hoe,0.0
0,negative,belle bitch,-0.5859
0,negative,lrt turnup lil bitch,-0.5859
0,negative,bad blood camp amp bout bitch know respect homie,-0.6369
0,negative,get none people talk back guess follow hopes hope follow back shit talk cracker,0.2732
0,negative,pls stop gassing gas fat hoes hoe,-0.2263
0,negative,oh nasty smoking cigarettes cigarette nasty not washing wash behind ears ear everyday stupid little bitch,-0.9338
0,negative,ugly bitches bitch stay subbing sub,-0.9001
0,negative,thugga let ur bitch suck em rentals rental,-0.7717
0,negative,taught lil niggah treat girl,0.4019
0,negative,want birthday big booty hoe,0.0772
0,negative,fuck u bitch fuck u bitch,-0.9393
0,negative,pussy loves love speak tongues tongue,0.836
0,negative,girl talk sex social media medium hoe,0.0
0,negative,darkskin dykes dyke,0.0
0,negative,bitch drunk nah,-0.765
0,negative,boldest side hoes hoe come front girl nd start touchin nigguh,0.3818
0,negative,never date female another niggah name lol wtf,-0.25
0,negative,day ex told sober cheated cheat day eliminated eliminate colored color skinny jeans jean wardrobe,-0.743
0,negative,heard mama raised raise like bitch,-0.3182
0,negative,eff dem hos ho,0.0
0,negative,got get like hoes hoe low pro,0.1027
0,negative,stick one finger pussy feel walls wall still tight,0.0
0,negative,hoes hoe days day,0.0
0,negative,actually kill bitch,-0.8591
0,negative,hey okrah wake already already know bammy moochie commies commie stop racist whitey hate crap,-0.91
0,negative,beyonc seems seem like bitch,-0.3182
0,negative,bitch gon na steal police uniform think authority say pop trunk bitch ass as thewalkingdead,-0.9325
0,negative,think guy period today emotional bitch heh heh heh,-0.7184
0,negative,let go see wolverine hoe,0.0
0,negative,wish twitter stalk bitch button,-0.2732
0,negative,real pinchbach told niggas nigga watch everybody bandwagon jump bitch get austin,-0.7351
0,negative,hate wcw ass as bitches bitch,-0.9423
0,negative,knew gettin pussy later yakked look stoned stone hell,-0.6808
0,negative,hate takin trash always expecting expect big ass as dog alley like raccoon jump dumpster,-0.743
0,negative,u wanted want go military yo bitch ass as handle nobody shooting shoot u shut yo mf mouth salute,-0.8555
0,negative,tweeting tweet ur boyfriend get xbox live nigga got get ta kill streak rn bitch shut,-0.8591
0,negative,baby make pussy rain often,0.0
0,negative,u see bitch months month like yea im boy bitch u twerking dicc vday weknow,-0.7269
0,negative,ih hoe wassuh nigga get dem guts gut,0.0
0,negative,says say pedophile promoting promote dolt lmao teabagger,0.8402
0,negative,got get something pays pay hunnit every week real bitches bitch kno manage money,-0.8442
0,negative,hell yea bitch,-0.8555
0,negative,let gabby get drunk ass as give bitch bread bitches bitch love bread,-0.9217
0,negative,block us u see happens think ya high yellow ass as watch,-0.7506
0,negative,never tell bitch u,0.4717
0,negative,amo los pies pie fuck yeah,-0.3182
0,negative,bitch austin,-0.5859
0,negative,seen see little yellow nigga lives life pineapple thats crazy shit,-0.7184
0,negative,finna make power move wit bitch taxes tax gone go straight long wat told ha,-0.128
0,negative,fuck shit new age hoes hoe,-0.7964
0,negative,man ugliest bitches bitch talk,-0.91
0,negative,high school er body catch hoe lmao,0.5994
0,negative,yass bitch yass,-0.5859
0,negative,nigglet seen see,0.0
0,negative,knock door could hour shuffle hall ask bad bitch burrito end,-0.8074
0,negative,danny deep deep water many badass sons son bitches bitch,-0.8519
0,negative,fuck staten island place pussies pussy,-0.5423
0,negative,drop dat bitch walking walk wus wu driving drive,-0.7096
0,negative,servers server black ops acts act gay today bitch fo nite,-0.5859
0,negative,hmu talmbout match pull niccas wit ya smfh shit like kill,-0.7783
0,negative,basically become fearless bitch mad,-0.6249
0,negative,bring bitch ass as town east bitch,-0.9022
0,negative,stfu kenya u make sick lonely desperate bitch,-0.8979
0,negative,hear pussy smacking smack wet enough,0.0
0,negative,pussy sooo good,0.4404
0,negative,next sunday faggot,-0.6597
0,negative,thick raw fuck damn man pussy getting get workout,-0.7351
0,negative,freshman year senior year really niggah started start brothers brother years year ago today crazy,-0.34
0,negative,tigers tiger fuckin garbage jesus christ suck dick ausmus trash sorry ass as bullpen,-0.875
0,negative,stop pussy son shove needle heart afterearth,-0.296
0,negative,see bitch walking walk around wearing wear rihanna ima grab titty hoe dare get mad fight ab,-0.8625
0,negative,think fuckin wit wrong niggah,-0.4767
0,negative,turn yo bitch eaterrrrrrrrr,-0.5859
0,negative,got get another nigga bitch bed right,-0.5859
0,negative,stop complaining complain single hoe bigger big problems problem rn like mcdonald serve breakfast,-0.8126
0,negative,fuck ghetto ass as coons coon,-0.7906
0,negative,woman busting bust ass as please treat like shit cuz immature ass as lil boy yeah fuck hoe ass as niggas nigga,-0.9062
0,negative,imma bitch know leave alone,-0.7184
0,negative,smoke summm bitch,-0.5859
0,negative,u bad bitch enjoyyaday,-0.8074
0,negative,nobody want nigga take expensive date expect pussy cause took take girl like tf,0.4215
0,negative,yeah better well play ya nigger,0.5106
0,negative,cpt commando hoe cocksucker,-0.6249
0,negative,dont hoes hoe,0.0
0,negative,wow stupid bitch,-0.5267
0,negative,always wear black cause ready funeral bitch,-0.5859
0,negative,ont like game wit retarded retard ass as bird,-0.8442
0,negative,fuck mean macklemore trash nigger,-0.8316
0,negative,happy birthday bad bitch,-0.5574
